"cnty_fips","display_name","Value","theme_range"
04011,"""Greenlee, (AZ)""",193.7,"193.7 - 222.1 (623)"
04012,"""La Paz, (AZ)""",222.9,"222.2 - 249.2 (624)"
04013,"""Maricopa, (AZ)""",181.2,"59.4 - 193.6 (626)"
04015,"""Mohave, (AZ)""",276.4,"249.3 - 287.2 (622)"
04017,"""Navajo, (AZ)""",192.1,"59.4 - 193.6 (626)"
04019,"""Pima, (AZ)""",187.3,"59.4 - 193.6 (626)"
04021,"""Pinal, (AZ)""",160.2,"59.4 - 193.6 (626)"
04023,"""Santa Cruz, (AZ)""",150.1,"59.4 - 193.6 (626)"
04025,"""Yavapai, (AZ)""",185.2,"59.4 - 193.6 (626)"
04027,"""Yuma, (AZ)""",167.7,"59.4 - 193.6 (626)"
06003,"""Alpine, (CA)""",645.6,"287.3 - 645.6 (621)"
06019,"""Fresno, (CA)""",239.3,"222.2 - 249.2 (624)"
06025,"""Imperial, (CA)""",188.7,"59.4 - 193.6 (626)"
06027,"""Inyo, (CA)""",188.5,"59.4 - 193.6 (626)"
06029,"""Kern, (CA)""",251.2,"249.3 - 287.2 (622)"
06037,"""Los Angeles, (CA)""",201.8,"193.7 - 222.1 (623)"
06039,"""Madera, (CA)""",205.8,"193.7 - 222.1 (623)"
06051,"""Mono, (CA)""",91.2,"59.4 - 193.6 (626)"
06059,"""Orange, (CA)""",182.4,"59.4 - 193.6 (626)"
06065,"""Riverside, (CA)""",225.3,"222.2 - 249.2 (624)"
06071,"""San Bernardino, (CA)""",249.9,"249.3 - 287.2 (622)"
06073,"""San Diego, (CA)""",185,"59.4 - 193.6 (626)"
06107,"""Tulare, (CA)""",262.2,"249.3 - 287.2 (622)"
06111,"""Ventura, (CA)""",186.5,"59.4 - 193.6 (626)"
08007,"""Archuleta, (CO)""",167.8,"59.4 - 193.6 (626)"
08029,"""Delta, (CO)""",226.3,"222.2 - 249.2 (624)"
08033,"""Dolores, (CO)""",-1,
08045,"""Garfield, (CO)""",151.7,"59.4 - 193.6 (626)"
08051,"""Gunnison, (CO)""",118.7,"59.4 - 193.6 (626)"
08053,"""Hinsdale, (CO)""",-1,
08067,"""La Plata, (CO)""",181.7,"59.4 - 193.6 (626)"
08077,"""Mesa, (CO)""",218.5,"193.7 - 222.1 (623)"
08079,"""Mineral, (CO)""",-1,
08081,"""Moffat, (CO)""",170.6,"59.4 - 193.6 (626)"
08083,"""Montezuma, (CO)""",194.1,"193.7 - 222.1 (623)"
08085,"""Montrose, (CO)""",184.6,"59.4 - 193.6 (626)"
08091,"""Ouray, (CO)""",95.6,"59.4 - 193.6 (626)"
08097,"""Pitkin, (CO)""",59.4,"59.4 - 193.6 (626)"
08103,"""Rio Blanco, (CO)""",163.7,"59.4 - 193.6 (626)"
08107,"""Routt, (CO)""",111.6,"59.4 - 193.6 (626)"
08111,"""San Juan, (CO)""",-1,
08113,"""San Miguel, (CO)""",-1,
16001,"""Ada, (ID)""",192.4,"59.4 - 193.6 (626)"
16005,"""Bannock, (ID)""",256.5,"249.3 - 287.2 (622)"
16007,"""Bear Lake, (ID)""",247.7,"222.2 - 249.2 (624)"
16011,"""Bingham, (ID)""",247.8,"222.2 - 249.2 (624)"
16013,"""Blaine, (ID)""",109.4,"59.4 - 193.6 (626)"
16015,"""Boise, (ID)""",157.4,"59.4 - 193.6 (626)"
16019,"""Bonneville, (ID)""",237.6,"222.2 - 249.2 (624)"
16023,"""Butte, (ID)""",239.8,"222.2 - 249.2 (624)"
16025,"""Camas, (ID)""",-1,
16027,"""Canyon, (ID)""",232.4,"222.2 - 249.2 (624)"
16029,"""Caribou, (ID)""",226.2,"222.2 - 249.2 (624)"
16031,"""Cassia, (ID)""",221.8,"193.7 - 222.1 (623)"
16033,"""Clark, (ID)""",-1,
16037,"""Custer, (ID)""",154.5,"59.4 - 193.6 (626)"
16039,"""Elmore, (ID)""",219.6,"193.7 - 222.1 (623)"
16041,"""Franklin, (ID)""",191.3,"59.4 - 193.6 (626)"
16043,"""Fremont, (ID)""",234.4,"222.2 - 249.2 (624)"
16045,"""Gem, (ID)""",233.5,"222.2 - 249.2 (624)"
16047,"""Gooding, (ID)""",219.2,"193.7 - 222.1 (623)"
16051,"""Jefferson, (ID)""",212.2,"193.7 - 222.1 (623)"
16053,"""Jerome, (ID)""",218.4,"193.7 - 222.1 (623)"
16063,"""Lincoln, (ID)""",185.6,"59.4 - 193.6 (626)"
16065,"""Madison, (ID)""",272.8,"249.3 - 287.2 (622)"
16067,"""Minidoka, (ID)""",198.9,"193.7 - 222.1 (623)"
16071,"""Oneida, (ID)""",233,"222.2 - 249.2 (624)"
16073,"""Owyhee, (ID)""",200.7,"193.7 - 222.1 (623)"
16075,"""Payette, (ID)""",209.2,"193.7 - 222.1 (623)"
16077,"""Power, (ID)""",170.9,"59.4 - 193.6 (626)"
16081,"""Teton, (ID)""",161.6,"59.4 - 193.6 (626)"
16083,"""Twin Falls, (ID)""",197.7,"193.7 - 222.1 (623)"
16087,"""Washington, (ID)""",201.6,"193.7 - 222.1 (623)"
32001,"""Churchill, (NV)""",261.5,"249.3 - 287.2 (622)"
32003,"""Clark, (NV)""",254.1,"249.3 - 287.2 (622)"
32005,"""Douglas, (NV)""",171.4,"59.4 - 193.6 (626)"
32007,"""Elko, (NV)""",192.6,"59.4 - 193.6 (626)"
32009,"""Esmeralda, (NV)""",-1,
32011,"""Eureka, (NV)""",-1,
32013,"""Humboldt, (NV)""",235.5,"222.2 - 249.2 (624)"
32015,"""Lander, (NV)""",243.1,"222.2 - 249.2 (624)"
32017,"""Lincoln, (NV)""",182,"59.4 - 193.6 (626)"
32019,"""Lyon, (NV)""",256.8,"249.3 - 287.2 (622)"
32021,"""Mineral, (NV)""",262.9,"249.3 - 287.2 (622)"
32023,"""Nye, (NV)""",333.4,"287.3 - 645.6 (621)"
32027,"""Pershing, (NV)""",192.5,"59.4 - 193.6 (626)"
32029,"""Storey, (NV)""",118.7,"59.4 - 193.6 (626)"
32031,"""Washoe, (NV)""",251.2,"249.3 - 287.2 (622)"
32033,"""White Pine, (NV)""",208.1,"193.7 - 222.1 (623)"
32510,"""Carson City, (NV)""",267.2,"249.3 - 287.2 (622)"
35003,"""Catron, (NM)""",179,"59.4 - 193.6 (626)"
35006,"""Cibola, (NM)""",208.3,"193.7 - 222.1 (623)"
35013,"""Do̱a Ana, (NM)""",177.5,"59.4 - 193.6 (626)"
35017,"""Grant, (NM)""",183.5,"59.4 - 193.6 (626)"
35023,"""Hidalgo, (NM)""",257.2,"249.3 - 287.2 (622)"
35029,"""Luna, (NM)""",258,"249.3 - 287.2 (622)"
35031,"""McKinley, (NM)""",193,"59.4 - 193.6 (626)"
35043,"""Sandoval, (NM)""",180,"59.4 - 193.6 (626)"
35045,"""San Juan, (NM)""",182.9,"59.4 - 193.6 (626)"
35051,"""Sierra, (NM)""",300.6,"287.3 - 645.6 (621)"
35053,"""Socorro, (NM)""",233.3,"222.2 - 249.2 (624)"
35061,"""Valencia, (NM)""",193.2,"59.4 - 193.6 (626)"
41023,"""Grant, (OR)""",184.4,"59.4 - 193.6 (626)"
41025,"""Harney, (OR)""",202.3,"193.7 - 222.1 (623)"
41045,"""Malheur, (OR)""",254.7,"249.3 - 287.2 (622)"
49001,"""Beaver, (UT)""",292.2,"287.3 - 645.6 (621)"
49003,"""Box Elder, (UT)""",247.1,"222.2 - 249.2 (624)"
49005,"""Cache, (UT)""",185.4,"59.4 - 193.6 (626)"
49007,"""Carbon, (UT)""",281.7,"249.3 - 287.2 (622)"
49009,"""Daggett, (UT)""",-1,
49011,"""Davis, (UT)""",210.6,"193.7 - 222.1 (623)"
49013,"""Duchesne, (UT)""",201.9,"193.7 - 222.1 (623)"
49015,"""Emery, (UT)""",283.1,"249.3 - 287.2 (622)"
49017,"""Garfield, (UT)""",235.9,"222.2 - 249.2 (624)"
49019,"""Grand, (UT)""",165.4,"59.4 - 193.6 (626)"
49021,"""Iron, (UT)""",178,"59.4 - 193.6 (626)"
49023,"""Juab, (UT)""",212.3,"193.7 - 222.1 (623)"
49025,"""Kane, (UT)""",203.8,"193.7 - 222.1 (623)"
49027,"""Millard, (UT)""",163.6,"59.4 - 193.6 (626)"
49029,"""Morgan, (UT)""",209.2,"193.7 - 222.1 (623)"
49031,"""Piute, (UT)""",-1,
49033,"""Rich, (UT)""",-1,
49035,"""Salt Lake, (UT)""",198.2,"193.7 - 222.1 (623)"
49037,"""San Juan, (UT)""",143.7,"59.4 - 193.6 (626)"
49039,"""Sanpete, (UT)""",188.5,"59.4 - 193.6 (626)"
49041,"""Sevier, (UT)""",222.1,"193.7 - 222.1 (623)"
49043,"""Summit, (UT)""",135.6,"59.4 - 193.6 (626)"
49045,"""Tooele, (UT)""",188.5,"59.4 - 193.6 (626)"
49047,"""Uintah, (UT)""",220.3,"193.7 - 222.1 (623)"
49049,"""Utah, (UT)""",201.3,"193.7 - 222.1 (623)"
49051,"""Wasatch, (UT)""",198.4,"193.7 - 222.1 (623)"
49053,"""Washington, (UT)""",151.6,"59.4 - 193.6 (626)"
49055,"""Wayne, (UT)""",214.2,"193.7 - 222.1 (623)"
49057,"""Weber, (UT)""",223.1,"222.2 - 249.2 (624)"
56003,"""Big Horn, (WY)""",250.6,"249.3 - 287.2 (622)"
56007,"""Carbon, (WY)""",220.3,"193.7 - 222.1 (623)"
56013,"""Fremont, (WY)""",209.3,"193.7 - 222.1 (623)"
56017,"""Hot Springs, (WY)""",259.3,"249.3 - 287.2 (622)"
56023,"""Lincoln, (WY)""",197.6,"193.7 - 222.1 (623)"
56025,"""Natrona, (WY)""",200.3,"193.7 - 222.1 (623)"
56029,"""Park, (WY)""",183.1,"59.4 - 193.6 (626)"
56035,"""Sublette, (WY)""",172.9,"59.4 - 193.6 (626)"
56037,"""Sweetwater, (WY)""",236.9,"222.2 - 249.2 (624)"
56039,"""Teton, (WY)""",92.1,"59.4 - 193.6 (626)"
56041,"""Uinta, (WY)""",219.6,"193.7 - 222.1 (623)"
56043,"""Washakie, (WY)""",176.7,"59.4 - 193.6 (626)"
22031,"""De Soto, (LA)""",271.9,"249.3 - 287.2 (622)"
48001,"""Anderson, (TX)""",350,"287.3 - 645.6 (621)"
48005,"""Angelina, (TX)""",307.1,"287.3 - 645.6 (621)"
48007,"""Aransas, (TX)""",220.6,"193.7 - 222.1 (623)"
48013,"""Atascosa, (TX)""",246.7,"222.2 - 249.2 (624)"
48015,"""Austin, (TX)""",241,"222.2 - 249.2 (624)"
48019,"""Bandera, (TX)""",170.9,"59.4 - 193.6 (626)"
48021,"""Bastrop, (TX)""",231.7,"222.2 - 249.2 (624)"
48025,"""Bee, (TX)""",294,"287.3 - 645.6 (621)"
48027,"""Bell, (TX)""",208.4,"193.7 - 222.1 (623)"
48029,"""Bexar, (TX)""",226.6,"222.2 - 249.2 (624)"
48031,"""Blanco, (TX)""",203.7,"193.7 - 222.1 (623)"
48035,"""Bosque, (TX)""",276,"249.3 - 287.2 (622)"
48039,"""Brazoria, (TX)""",230.6,"222.2 - 249.2 (624)"
48041,"""Brazos, (TX)""",205.8,"193.7 - 222.1 (623)"
48043,"""Brewster, (TX)""",172.3,"59.4 - 193.6 (626)"
48047,"""Brooks, (TX)""",268.6,"249.3 - 287.2 (622)"
48049,"""Brown, (TX)""",265.1,"249.3 - 287.2 (622)"
48051,"""Burleson, (TX)""",378.7,"287.3 - 645.6 (621)"
48053,"""Burnet, (TX)""",205.1,"193.7 - 222.1 (623)"
48055,"""Caldwell, (TX)""",238,"222.2 - 249.2 (624)"
48057,"""Calhoun, (TX)""",233.7,"222.2 - 249.2 (624)"
48061,"""Cameron, (TX)""",195.1,"193.7 - 222.1 (623)"
48071,"""Chambers, (TX)""",271.4,"249.3 - 287.2 (622)"
48073,"""Cherokee, (TX)""",306.9,"287.3 - 645.6 (621)"
48081,"""Coke, (TX)""",234.6,"222.2 - 249.2 (624)"
48083,"""Coleman, (TX)""",295.7,"287.3 - 645.6 (621)"
48089,"""Colorado, (TX)""",264.4,"249.3 - 287.2 (622)"
48091,"""Comal, (TX)""",209.1,"193.7 - 222.1 (623)"
48093,"""Comanche, (TX)""",291.1,"287.3 - 645.6 (621)"
48095,"""Concho, (TX)""",209.5,"193.7 - 222.1 (623)"
48099,"""Coryell, (TX)""",252.1,"249.3 - 287.2 (622)"
48103,"""Crane, (TX)""",165.3,"59.4 - 193.6 (626)"
48105,"""Crockett, (TX)""",367.9,"287.3 - 645.6 (621)"
48109,"""Culberson, (TX)""",-1,
48123,"""DeWitt, (TX)""",264.8,"249.3 - 287.2 (622)"
48127,"""Dimmit, (TX)""",203,"193.7 - 222.1 (623)"
48131,"""Duval, (TX)""",265.3,"249.3 - 287.2 (622)"
48135,"""Ector, (TX)""",269.1,"249.3 - 287.2 (622)"
48137,"""Edwards, (TX)""",197.7,"193.7 - 222.1 (623)"
48141,"""El Paso, (TX)""",189.1,"59.4 - 193.6 (626)"
48145,"""Falls, (TX)""",278.2,"249.3 - 287.2 (622)"
48149,"""Fayette, (TX)""",259.2,"249.3 - 287.2 (622)"
48157,"""Fort Bend, (TX)""",168.1,"59.4 - 193.6 (626)"
48161,"""Freestone, (TX)""",239.7,"222.2 - 249.2 (624)"
48163,"""Frio, (TX)""",275.6,"249.3 - 287.2 (622)"
48167,"""Galveston, (TX)""",243.5,"222.2 - 249.2 (624)"
48171,"""Gillespie, (TX)""",179.7,"59.4 - 193.6 (626)"
48173,"""Glasscock, (TX)""",-1,
48175,"""Goliad, (TX)""",228,"222.2 - 249.2 (624)"
48177,"""Gonzales, (TX)""",230.9,"222.2 - 249.2 (624)"
48185,"""Grimes, (TX)""",263.4,"249.3 - 287.2 (622)"
48187,"""Guadalupe, (TX)""",199.1,"193.7 - 222.1 (623)"
48193,"""Hamilton, (TX)""",224.8,"222.2 - 249.2 (624)"
48199,"""Hardin, (TX)""",284.4,"249.3 - 287.2 (622)"
48201,"""Harris, (TX)""",215.2,"193.7 - 222.1 (623)"
48209,"""Hays, (TX)""",181.6,"59.4 - 193.6 (626)"
48215,"""Hidalgo, (TX)""",180.8,"59.4 - 193.6 (626)"
48217,"""Hill, (TX)""",251.9,"249.3 - 287.2 (622)"
48225,"""Houston, (TX)""",286.3,"249.3 - 287.2 (622)"
48229,"""Hudspeth, (TX)""",171.8,"59.4 - 193.6 (626)"
48235,"""Irion, (TX)""",-1,
48239,"""Jackson, (TX)""",297.7,"287.3 - 645.6 (621)"
48241,"""Jasper, (TX)""",305.4,"287.3 - 645.6 (621)"
48243,"""Jeff Davis, (TX)""",-1,
48245,"""Jefferson, (TX)""",302.3,"287.3 - 645.6 (621)"
48247,"""Jim Hogg, (TX)""",252.9,"249.3 - 287.2 (622)"
48249,"""Jim Wells, (TX)""",329.1,"287.3 - 645.6 (621)"
48255,"""Karnes, (TX)""",289.5,"287.3 - 645.6 (621)"
48259,"""Kendall, (TX)""",197.2,"193.7 - 222.1 (623)"
48261,"""Kenedy, (TX)""",-1,
48265,"""Kerr, (TX)""",206.3,"193.7 - 222.1 (623)"
48267,"""Kimble, (TX)""",272.1,"249.3 - 287.2 (622)"
48271,"""Kinney, (TX)""",174.3,"59.4 - 193.6 (626)"
48273,"""Kleberg, (TX)""",320.3,"287.3 - 645.6 (621)"
48281,"""Lampasas, (TX)""",193.5,"59.4 - 193.6 (626)"
48283,"""La Salle, (TX)""",285.1,"249.3 - 287.2 (622)"
48285,"""Lavaca, (TX)""",229.5,"222.2 - 249.2 (624)"
48287,"""Lee, (TX)""",259.4,"249.3 - 287.2 (622)"
48289,"""Leon, (TX)""",219.3,"193.7 - 222.1 (623)"
48291,"""Liberty, (TX)""",340.5,"287.3 - 645.6 (621)"
48293,"""Limestone, (TX)""",280.2,"249.3 - 287.2 (622)"
48297,"""Live Oak, (TX)""",210.1,"193.7 - 222.1 (623)"
48299,"""Llano, (TX)""",174.1,"59.4 - 193.6 (626)"
48301,"""Loving, (TX)""",-1,
48307,"""McCulloch, (TX)""",253.1,"249.3 - 287.2 (622)"
48309,"""McLennan, (TX)""",241.4,"222.2 - 249.2 (624)"
48311,"""McMullen, (TX)""",-1,
48313,"""Madison, (TX)""",287.2,"249.3 - 287.2 (622)"
48319,"""Mason, (TX)""",187,"59.4 - 193.6 (626)"
48321,"""Matagorda, (TX)""",291,"287.3 - 645.6 (621)"
48323,"""Maverick, (TX)""",218.4,"193.7 - 222.1 (623)"
48325,"""Medina, (TX)""",251.4,"249.3 - 287.2 (622)"
48327,"""Menard, (TX)""",334.3,"287.3 - 645.6 (621)"
48329,"""Midland, (TX)""",222.4,"222.2 - 249.2 (624)"
48331,"""Milam, (TX)""",242.9,"222.2 - 249.2 (624)"
48333,"""Mills, (TX)""",206.5,"193.7 - 222.1 (623)"
48339,"""Montgomery, (TX)""",215,"193.7 - 222.1 (623)"
48347,"""Nacogdoches, (TX)""",236.8,"222.2 - 249.2 (624)"
48349,"""Navarro, (TX)""",278.9,"249.3 - 287.2 (622)"
48351,"""Newton, (TX)""",337.6,"287.3 - 645.6 (621)"
48355,"""Nueces, (TX)""",218.6,"193.7 - 222.1 (623)"
48361,"""Orange, (TX)""",345.1,"287.3 - 645.6 (621)"
48371,"""Pecos, (TX)""",207.8,"193.7 - 222.1 (623)"
48373,"""Polk, (TX)""",364.5,"287.3 - 645.6 (621)"
48377,"""Presidio, (TX)""",128.3,"59.4 - 193.6 (626)"
48383,"""Reagan, (TX)""",326.7,"287.3 - 645.6 (621)"
48385,"""Real, (TX)""",323.3,"287.3 - 645.6 (621)"
48389,"""Reeves, (TX)""",242.1,"222.2 - 249.2 (624)"
48391,"""Refugio, (TX)""",237,"222.2 - 249.2 (624)"
48395,"""Robertson, (TX)""",292.9,"287.3 - 645.6 (621)"
48399,"""Runnels, (TX)""",236.4,"222.2 - 249.2 (624)"
48403,"""Sabine, (TX)""",318,"287.3 - 645.6 (621)"
48405,"""San Augustine, (TX)""",247.3,"222.2 - 249.2 (624)"
48407,"""San Jacinto, (TX)""",253.8,"249.3 - 287.2 (622)"
48409,"""San Patricio, (TX)""",241.8,"222.2 - 249.2 (624)"
48411,"""San Saba, (TX)""",228.1,"222.2 - 249.2 (624)"
48413,"""Schleicher, (TX)""",255,"249.3 - 287.2 (622)"
