,Under 18 years old,Over 65 years old,Median age,White,Black,American Indian,Asian,Hawaiian,Higher education achievement,High school achievement,Literacy,Urban population ,Population density (number of people/square mile),Unemployement,Crime rate,Firearms death rate,Number of firearm death,Poverty rate,Number of people under poverty level,GINI index,Median income (in USD),2016 Trump vote share,2020 Trump vote share,Governor: democrat (1) / republican (0),Gun ownership rate,Adult obesity rate,Hypertension,Number of Covid-19 deaths in 2020 / State population,People without healthcare,Access to care score
Unemployement,-0.2394115050732354,-0.005180734933790233,0.09629720740221827,-0.5286246389854363,0.14952319723915705,-0.004121264129517021,0.44918183398788675,0.20479856474244157,0.1421972988993042,-0.36060096892080185,-0.5594010192298741,0.5507963295208816,0.40724812583914993,1.0,0.2701092627355412,-0.21094811856205517,0.20538833247256402,0.1137060281366446,0.37693796331880364,0.5626779559675061,0.3098778948192314,-0.49730371607594176,-0.5048137066831215,0.5038506840846922,-0.5197349961164607,-0.1933094412214512,-0.0823214479601532,-0.21843815936734823,-0.09101045418051908,0.13305710270367752
Crime rate,0.19852579545351043,-0.1810819692354346,-0.1589525639408369,-0.4289295336041996,0.6623495644494591,0.07040041539458224,-0.12774678752538396,-0.1109461060454852,-0.4767638095943018,-0.5772636758682158,-0.3831860573578765,0.007508180309044482,-0.1264891323544786,0.2701092627355412,1.0,0.6807872470920184,0.30081287327845313,0.6049730870474175,0.14481858756795282,0.30548079959041446,-0.4060210098997525,0.2505733600480086,0.2113763341485124,-0.0729744690456845,0.23561045983307286,0.020165350452483494,0.5617840750013676,-0.25446614331163364,0.39000545235573886,-0.547327954621088
Firearms death rate,0.3833759857995591,-0.15227511725212015,-0.2781360454243924,0.04183338554775477,0.25479516825990217,0.4130625765600478,-0.4461443015062609,-0.212084356428939,-0.7143297185841828,-0.2879569769319202,-0.07489022732627638,-0.44551114312039425,-0.5953615633579219,-0.21094811856205517,0.6807872470920184,1.0,0.12404863321588443,0.605976198135088,-0.14847302017513603,-0.06539725840746537,-0.6629689310641143,0.6806780489342331,0.6799672705881061,-0.35004777736814374,0.8214580232327838,0.00933168964958715,0.5479224521613901,0.09589712758850351,0.5969779274846836,-0.656547621638176
Number of firearm death,0.07599996166134501,-0.1758392492805757,-0.08744294765092749,-0.20155064679590165,0.2762334555331988,-0.15291935823028155,0.018828244004142135,-0.15311486023014279,-0.0771921088133582,-0.520968954046987,-0.5729756532351518,0.26725830370192216,-0.02719086304330774,0.20538833247256402,0.30081287327845313,0.12404863321588443,1.0,0.27066240230232635,0.8765743540690115,0.44008803634642957,-0.16165140001961192,-0.019011580664870263,-0.025484665203521176,-0.057588598013933075,-0.034302932831350226,-0.16571114129304573,0.04600618833260588,-0.424336406063581,0.42263350082132767,-0.41892677185102706
Poverty rate,0.11080315880667334,0.09218310189198703,-0.010751817308967989,-0.13649007303222238,0.4410310909588506,0.07632000775790929,-0.2984991102045334,-0.19749387305778793,-0.7518306774989209,-0.7525120600449966,-0.48852680430449413,-0.29495391506520546,-0.2523088161454359,0.1137060281366446,0.6049730870474175,0.605976198135088,0.27066240230232635,1.0,0.21179219347804681,0.4011770351751966,-0.8186713757874865,0.4555606683314478,0.43190132808652637,-0.0030973291712132326,0.3572486892637053,0.032918754872033086,0.7312110739391745,-0.07237218524014036,0.3885239951060474,-0.5529295274258629
Number of people under poverty level,0.038358971993100746,-0.22795919708632337,-0.09749768322122483,-0.2797362506808296,0.22907759014794024,-0.22860613301716412,0.17013481846471806,-0.11130190221010577,0.042454514089654734,-0.6007771688394368,-0.6905009003749667,0.3947053528773911,0.11543978289866601,0.37693796331880364,0.14481858756795282,-0.14847302017513603,0.8765743540690115,0.21179219347804681,1.0,0.5414828532064356,0.018559801148951328,-0.20364252705946317,-0.1985460980514895,0.08662268059937411,-0.27894466888325914,-0.18110844439685442,-0.05280636430015036,-0.43906328527765776,0.27896161738708264,-0.26752512461504857
GINI index,-0.14309202308208813,-0.10960675942135911,0.008327674625049906,-0.31770483391275445,0.35689992908292284,0.02184904161243446,0.014763064075580997,-0.20009475800190776,0.05718061988924078,-0.5389329414175485,-0.5927449701038879,0.3151555123429451,0.37027139704719203,0.5626779559675061,0.30548079959041446,-0.06539725840746537,0.44008803634642957,0.4011770351751966,0.5414828532064356,1.0,-0.034809711053426985,-0.16698885132493502,-0.2146065972423919,0.23301759941020997,-0.3115724004979806,-0.15618905212850687,0.1313262582824816,-0.24410894963998145,0.14932035156188403,-0.09250516859978243
Median income (in USD),-0.1313865501344598,-0.24688013537184014,-0.05940553253003025,-0.2640113601808309,-0.21372516575935827,-0.03982745129500901,0.5465320919964879,0.30120228869661664,0.8413732980959758,0.4180246250330785,0.10654968747106555,0.5572203234657223,0.5133583369465403,0.3098778948192314,-0.4060210098997525,-0.6629689310641143,-0.16165140001961192,-0.8186713757874865,0.018559801148951328,-0.034809711053426985,1.0,-0.6869066444838828,-0.6717385354723264,0.18971166247633317,-0.6267948817152225,-0.17922293275727583,-0.6640949185171822,-0.06346649301574821,-0.41946791411995277,0.5771553704512378
2016 Trump vote share,0.4144630508270354,-0.05483214686320404,-0.20596993421793588,0.3511515638389812,0.08044661304415938,0.20118882869396512,-0.5448314857622173,-0.28786950121762406,-0.7456045006420566,-0.12256246709692481,0.14802181640947684,-0.5496810071791535,-0.4697541160138833,-0.49730371607594176,0.2505733600480086,0.6806780489342331,-0.019011580664870263,0.4555606683314478,-0.20364252705946317,-0.16698885132493502,-0.6869066444838828,1.0,0.9763970291188984,-0.41510046142751306,0.7441279966300661,0.17374468350034025,0.556994316350823,0.35530353301038403,0.4961519692599753,-0.5593959087475654
2020 Trump vote share,0.5205240832491614,-0.12153939563365727,-0.3158872193516871,0.3489996845831856,0.0013029017577662141,0.22789723637153328,-0.49680633981300953,-0.21861007571227645,-0.7640851319108187,-0.10004030923714977,0.12703658765864972,-0.49877041692008034,-0.5200083599928788,-0.5048137066831215,0.2113763341485124,0.6799672705881061,-0.025484665203521176,0.43190132808652637,-0.1985460980514895,-0.2146065972423919,-0.6717385354723264,0.9763970291188984,1.0,-0.43081431536488923,0.7530794693239632,0.1262230744662322,0.48914685826631443,0.35384289419789455,0.5040373925309518,-0.5698178939375499
Governor: democrat (1) / republican (0),-0.32871431455635775,0.15937815952810816,0.2567994041484321,-0.1703975825199933,-0.05552108727136927,-0.2176869922008876,0.313236267133733,0.13714962325714863,0.2038228708348904,-0.08011904709570153,-0.16607750456143688,0.30079314455318923,0.21501177775069716,0.5038506840846922,-0.0729744690456845,-0.35004777736814374,-0.057588598013933075,-0.0030973291712132326,0.08662268059937411,0.23301759941020997,0.18971166247633317,-0.41510046142751306,-0.43081431536488923,1.0,-0.39025923770760446,0.01910380122557903,-0.10399983657044545,-0.21862517007263232,-0.4027614136585746,0.34446817116910367
Gun ownership rate,0.3909218757526646,-0.09246120908099478,-0.25109670719915683,0.40385036327890267,-0.07227104415803774,0.404968296102666,-0.5567415684386833,-0.28139250539959515,-0.6273222940708791,0.044487950091661954,0.239616966627505,-0.6881055664457331,-0.8026227715603927,-0.5197349961164607,0.23561045983307286,0.8214580232327838,-0.034302932831350226,0.3572486892637053,-0.27894466888325914,-0.3115724004979806,-0.6267948817152225,0.7441279966300661,0.7530794693239632,-0.39025923770760446,1.0,0.08034877954401477,0.364618046346135,0.2719478703476942,0.4947274386919821,-0.4823121838448673
Adult obesity rate,-0.18903294676599416,0.2738505372135558,0.26327912206365556,0.09618735914727196,-0.05097908255377376,-0.0927266359814796,0.00026366731958841734,0.041455947782550864,-0.15376000211496424,0.061095869879827853,0.15388882755727978,-0.3010306013014424,-0.07574092914019928,-0.1933094412214512,0.020165350452483494,0.00933168964958715,-0.16571114129304573,0.032918754872033086,-0.18110844439685442,-0.15618905212850687,-0.17922293275727583,0.17374468350034025,0.1262230744662322,0.01910380122557903,0.08034877954401477,1.0,0.22039759766487402,0.05754247028508984,-0.10448416630354142,0.03338199533722129
Hypertension,-0.05267839730205644,0.19257653281410206,0.2053887702142382,-0.11212042203403157,0.5155781293859675,-0.10626368062564838,-0.26685666932925356,-0.11629666293390187,-0.6872271838896172,-0.5120399616707855,-0.22257820905737313,-0.502852745000938,-0.16657813852697362,-0.0823214479601532,0.5617840750013676,0.5479224521613901,0.04600618833260588,0.7312110739391745,-0.05280636430015036,0.1313262582824816,-0.6640949185171822,0.556994316350823,0.48914685826631443,-0.10399983657044545,0.364618046346135,0.22039759766487402,1.0,-0.1326383140673837,0.2632902473061082,-0.4709618998564227
Number of Covid-19 deaths in 2020 / State population,0.13810462307275737,0.06169410128254097,-0.15231482229397997,0.2538971834242344,-0.25189282244800654,0.4690366558876994,-0.2225652625127313,-0.07799658788136289,-0.17735909342070427,0.3073521566217387,0.36532061410241023,-0.2870661891515969,-0.07197076147376026,-0.21843815936734823,-0.25446614331163364,0.09589712758850351,-0.424336406063581,-0.07237218524014036,-0.43906328527765776,-0.24410894963998145,-0.06346649301574821,0.35530353301038403,0.35384289419789455,-0.21862517007263232,0.2719478703476942,0.05754247028508984,-0.1326383140673837,1.0,0.006804234625522095,0.13606454900123297
People without healthcare,0.5104723888161709,-0.3585305005720029,-0.40545379652240965,-0.1132712033663797,0.2495445879059002,0.294504443022671,-0.2567736869657962,-0.1727623913599982,-0.46623881391986677,-0.4339003177471826,-0.3745622951603835,-0.07526450795519209,-0.3521401745684478,-0.09101045418051908,0.39000545235573886,0.5969779274846836,0.42263350082132767,0.3885239951060474,0.27896161738708264,0.14932035156188403,-0.41946791411995277,0.4961519692599753,0.5040373925309518,-0.4027614136585746,0.4947274386919821,-0.10448416630354142,0.2632902473061082,0.006804234625522095,1.0,-0.9004322055040433
Access to care score,-0.49897182850413485,0.2844281840157937,0.3439401348506898,0.1713606061676582,-0.4580752192441141,-0.03462062455812665,0.27508652235351744,0.1818391572660063,0.6004309295604201,0.593964360252778,0.46341869607228203,0.09244348189778008,0.34809057761118456,0.13305710270367752,-0.547327954621088,-0.656547621638176,-0.41892677185102706,-0.5529295274258629,-0.26752512461504857,-0.09250516859978243,0.5771553704512378,-0.5593959087475654,-0.5698178939375499,0.34446817116910367,-0.4823121838448673,0.03338199533722129,-0.4709618998564227,0.13606454900123297,-0.9004322055040433,1.0
