State code,Under 18 years old,Over 65 years old,Median age,White,Black,American Indian,Asian,Hawaiian,Higher education achievement,High school achievement,Literacy,Urban population ,Population density (number of people/square mile),Unemployement,Crime rate,Firearms death rate,Number of firearm death,Poverty rate,Number of people under poverty level,GINI index,Median income (in USD),2016 Trump vote share,2020 Trump vote share,Governor: democrat (1) / republican (0),Gun ownership rate,Adult obesity rate,Hypertension,Number of Covid-19 deaths in 2020 / State population,People without healthcare,Access to care score
ID,0.25099999999999995,0.16699999999999998,36.0,0.8997,0.0069,0.0135,0.0141,0.0016,0.28,0.91,0.895,0.706,23.0,0.028999999999999998,1.9,14.6,242.0,0.1189,221256.0,44.57,55785.0,0.5926,0.639,0.0,0.601,0.316,0.306,3.7099937607193916e-05,0.105,0.3149583692219351
IL,0.22200000000000003,0.166,38.0,0.7153,0.142,0.0026,0.0547,0.0004,0.35,0.89,0.871,0.885,226.0,0.068,7.8,11.6,1490.0,0.1239,1557873.0,48.0,65886.0,0.3876,0.406,1.0,0.278,0.353,0.322,7.88363408858127e-06,0.073,0.5368934826299168
IN,0.23299999999999998,0.165,38.0,0.8331,0.094,0.0024,0.0228,0.0004,0.27,0.89,0.92,0.7240000000000001,190.0,0.04,6.0,14.9,997.0,0.1275,867996.0,44.94,56303.0,0.5682,0.57,0.0,0.448,0.352,0.348,1.4913359176224066e-05,0.088,0.4094171691070916
IA,0.23,0.179,38.0,0.9002,0.0371,0.0038,0.0241,0.0012,0.29,0.92,0.925,0.64,57.0,0.04,3.3,9.2,288.0,0.1099,348122.0,44.0,60523.0,0.5115,0.531,0.0,0.436,0.295,0.318,3.153654277084185e-05,0.047,0.691358024691358
KS,0.24,0.168,37.0,0.8438,0.0585,0.0082,0.0295,0.0008,0.33,0.91,0.922,0.742,36.0,0.039,5.5,13.3,383.0,0.1158,337739.0,45.55,59597.0,0.5665,0.562,1.0,0.489,0.365,0.335,3.133888073856783e-05,0.092,0.42348550100488086
KY,0.22400000000000006,0.172,39.0,0.8695,0.0807,0.0021,0.0147,0.0007,0.24,0.86,0.878,0.584,113.0,0.043,5.9,17.5,772.0,0.1667,747010.0,47.41,50589.0,0.6252,0.621,1.0,0.546,0.359,0.409,1.6787262630904275e-05,0.064,0.5724949755957508
LA,0.23400000000000007,0.16399999999999998,37.0,0.6201,0.3222,0.0057,0.0173,0.0003,0.24,0.85,0.84,0.732,107.0,0.057999999999999996,12.4,21.2,987.0,0.1883,871467.0,49.03,49469.0,0.5809,0.585,1.0,0.531,0.252,0.397,2.5705591600746343e-05,0.089,0.34309503301751365
ME,0.185,0.218,45.0,0.9431,0.0138,0.0065,0.0113,0.0003,0.32,0.93,0.926,0.387,44.0,0.048,1.7,8.2,123.0,0.1131,153131.0,45.0,57918.0,0.4487,0.44,1.0,0.468,0.36,0.362,1.5250570594519318e-05,0.081,0.6525983347688774
MD,0.22099999999999995,0.163,39.0,0.5554,0.2989,0.0028,0.0628,0.0005,0.4,0.9,0.888,0.872,625.0,0.059000000000000004,9.0,11.8,707.0,0.089,539991.0,45.13,84805.0,0.3391,0.322,0.0,0.302,0.317,0.343,1.3629566897354806e-05,0.059,0.6617858168245765
MA,0.19599999999999995,0.174,40.0,0.7807,0.0763,0.0022,0.066,0.0004,0.44,0.91,0.901,0.92,886.0,0.052000000000000005,2.5,3.4,242.0,0.0985,680962.0,48.26,81215.0,0.3281,0.321,0.0,0.147,0.323,0.281,1.4639094099777686e-05,0.03,1.0
MI,0.215,0.182,40.0,0.7841,0.1379,0.0054,0.0313,0.0003,0.29,0.91,0.917,0.746,177.0,0.046,5.7,12.2,1230.0,0.14,1398527.0,46.0,57144.0,0.475,0.478,1.0,0.402,0.301,0.351,8.651370496243213e-06,0.058,0.6600631639391329
MN,0.23099999999999996,0.168,38.0,0.8285,0.0641,0.0104,0.0482,0.0004,0.36,0.93,0.94,0.733,72.0,0.037000000000000005,2.0,7.6,432.0,0.0922,526065.0,44.9,71306.0,0.4492,0.453,1.0,0.428,0.348,0.287,1.2944106991378161e-05,0.048,0.7413149583692219
MS,0.23500000000000001,0.16899999999999998,38.0,0.5841,0.3772,0.0048,0.0099,0.0002,0.22,0.85,0.84,0.494,63.0,0.057999999999999996,8.2,19.8,587.0,0.1975,585786.0,48.0,45081.0,0.5794,0.576,0.0,0.558,0.283,0.436,4.186618344713252e-05,0.129,0.1116853287395923
MO,0.22299999999999998,0.177,39.0,0.8216,0.1149,0.0044,0.0198,0.0013,0.29,0.9,0.925,0.7040000000000001,90.0,0.038,9.8,18.8,1144.0,0.1313,810045.0,46.32,55461.0,0.5677,0.568,0.0,0.488,0.408,0.309,1.4191612512602999e-05,0.101,0.36089577950043067
MT,0.21400000000000005,0.19699999999999998,40.0,0.8854,0.005,0.0636,0.0079,0.0008,0.32,0.94,0.912,0.5589999999999999,7.0,0.033,3.9,19.0,1994.0,0.1241,134605.0,45.87,54970.0,0.5617,0.569,0.0,0.663,0.34,0.295,7.204489613371533e-05,0.083,0.6184323858742463
NE,0.24599999999999994,0.165,37.0,0.8706,0.0483,0.0092,0.0238,0.0007,0.32,0.91,0.927,0.731,25.0,0.02,2.2,9.1,171.0,0.1058,206579.0,44.2,61439.0,0.5875,0.585,0.0,0.452,0.318,0.31,4.3889396652619305e-05,0.079,0.5503875968992248
NV,0.225,0.165,38.0,0.6559,0.0912,0.0128,0.0815,0.0067,0.25,0.87,0.839,0.9420000000000001,29.0,0.075,9.1,16.7,498.0,0.1208,384690.0,45.0,60365.0,0.455,0.477,1.0,0.473,0.348,0.328,2.996601470834594e-05,0.115,0.23944875107665803
NH,0.18799999999999997,0.193,43.0,0.9288,0.016,0.0015,0.0268,0.0003,0.37,0.93,0.942,0.603,153.0,0.028999999999999998,1.0,9.3,132.0,0.0719,98682.0,43.44,76768.0,0.4661,0.454,0.0,0.411,0.317,0.315,3.030055651531833e-05,0.064,0.6775768016078093
NJ,0.21799999999999997,0.17,40.0,0.6778,0.1346,0.0022,0.0946,0.0004,0.4,0.9,0.831,0.9470000000000001,1207.0,0.071,3.6,5.5,485.0,0.0979,869081.0,47.82,82545.0,0.41,0.414,1.0,0.147,0.306,0.302,1.6009565208580316e-05,0.079,0.4900947459086994
NM,0.22700000000000004,0.185,38.0,0.7481,0.0211,0.0955,0.0156,0.0008,0.27,0.86,0.835,0.774,17.0,0.069,7.1,18.2,383.0,0.1863,392065.0,48.0,49754.0,0.4004,0.435,1.0,0.462,0.271,0.316,5.05525247886213e-05,0.098,0.45765144989951195
NY,0.20700000000000005,0.174,39.0,0.6366,0.1566,0.0041,0.0842,0.0005,0.37,0.87,0.779,0.879,410.0,0.071,2.8,4.4,900.0,0.1389,2681277.0,51.02,68486.0,0.3652,0.377,1.0,0.199,0.368,0.296,7.212047192799303e-06,0.053,0.7097329888027563
NC,0.21900000000000006,0.171,39.0,0.6868,0.2144,0.0121,0.0285,0.0007,0.31,0.88,0.864,0.6609999999999999,220.0,0.042,5.8,13.6,1409.0,0.1371,1467591.0,47.48,54602.0,0.4983,0.499,1.0,0.458,0.348,0.351,4.1094255156613925e-06,0.114,0.27591157048521386
ND,0.23599999999999996,0.161,35.0,0.8658,0.0291,0.0529,0.0145,0.0011,0.3,0.93,0.937,0.599,11.0,0.035,1.3,11.9,90.0,0.1016,78198.0,46.0,64894.0,0.6296,0.651,0.0,0.551,0.341,0.298,0.00016074807561589476,0.074,0.6804478897502153
OH,0.22099999999999995,0.179,39.0,0.813,0.1241,0.002,0.0222,0.0003,0.28,0.9,0.909,0.779,287.0,0.054000000000000006,6.1,12.9,1524.0,0.1356,1588343.0,46.41,56602.0,0.5169,0.533,0.0,0.4,0.29,0.345,7.477051269986569e-06,0.067,0.5604364053976457
OK,0.24099999999999994,0.16399999999999998,37.0,0.7232,0.0728,0.0762,0.0217,0.0016,0.26,0.88,0.877,0.662,58.0,0.03,6.2,19.6,766.0,0.15,598373.0,46.52,52919.0,0.6532,0.654,0.0,0.547,0.332,0.378,2.5575117937432445e-05,0.149,0.2029859316681022
OR,0.20500000000000002,0.18600000000000003,39.0,0.8429,0.0191,0.0116,0.0437,0.004,0.34,0.91,0.898,0.81,45.0,0.047,2.5,11.8,513.0,0.1244,533527.0,46.0,62818.0,0.3909,0.404,1.0,0.508,0.3,0.306,6.235571350228808e-06,0.071,0.6126902095894343
PA,0.20599999999999996,0.191,41.0,0.8053,0.1118,0.0019,0.0341,0.0003,0.31,0.91,0.874,0.787,286.0,0.062,5.8,11.9,1555.0,0.1202,1539183.0,46.8,61744.0,0.4818,0.488,1.0,0.407,0.354,0.333,6.905177000230199e-06,0.057,0.6741314958369221
RI,0.19299999999999998,0.182,40.0,0.8046,0.0677,0.005,0.034,0.0008,0.34,0.89,0.915,0.907,1027.0,0.052000000000000005,1.9,4.0,49.0,0.1185,125826.0,47.38,67167.0,0.389,0.386,1.0,0.148,0.33,0.33,9.930514715946689e-05,0.043,0.8504163077806488
SC,0.21600000000000003,0.187,39.0,0.6716,0.2677,0.0035,0.0157,0.0008,0.28,0.88,0.853,0.6629999999999999,176.0,0.040999999999999995,7.8,17.7,891.0,0.1405,741650.0,46.9,53199.0,0.5494,0.551,0.0,0.494,0.365,0.383,1.52853702885808e-05,0.108,0.268733850129199
SD,0.245,0.17600000000000002,37.0,0.8427,0.0201,0.0875,0.0145,0.0006,0.29,0.92,0.93,0.5670000000000001,12.0,0.028999999999999998,2.9,13.5,108.0,0.1233,110553.0,44.0,58275.0,0.6153,0.618,0.0,0.553,0.34,0.309,0.00014502763211587743,0.096,0.5262704565030146
TN,0.22099999999999995,0.171,39.0,0.7758,0.1676,0.0027,0.0175,0.0006,0.27,0.88,0.868,0.664,168.0,0.044000000000000004,7.8,17.0,1148.0,0.1436,996930.0,47.86,53320.0,0.6072,0.607,0.0,0.516,0.292,0.393,1.1934093347160286e-05,0.102,0.3178294573643411
TX,0.255,0.132,35.0,0.7397,0.1213,0.005,0.048,0.0009,0.3,0.84,0.81,0.847,114.0,0.055999999999999994,5.0,12.1,3353.0,0.137,4072194.0,48.03,61874.0,0.5223,0.521,0.0,0.457,0.319,0.317,3.7143206650627377e-06,0.184,0.0
UT,0.29,0.11699999999999999,31.0,0.8643,0.0119,0.0109,0.0232,0.0089,0.34,0.92,0.906,0.9059999999999999,40.0,0.024,2.4,12.9,370.0,0.0902,298537.0,43.0,71621.0,0.4554,0.581,0.0,0.468,0.266,0.258,1.5502386494146212e-05,0.096,0.37151880562733275
VT,0.18299999999999997,0.20600000000000002,43.0,0.9416,0.0136,0.0034,0.0168,0.0005,0.38,0.93,0.934,0.389,68.0,0.028999999999999998,2.2,11.0,78.0,0.1053,65652.0,44.0,61973.0,0.3027,0.307,0.0,0.505,0.342,0.302,2.5961996124931687e-05,0.044,0.843238587424634
VA,0.21799999999999997,0.163,38.0,0.6763,0.1918,0.0028,0.064,0.0007,0.39,0.9,0.88,0.755,218.0,0.038,5.3,12.0,1049.0,0.1006,865691.0,46.73,74222.0,0.4441,0.44,1.0,0.446,0.283,0.336,6.689692800168332e-06,0.08,0.4923916164226242
WA,0.21799999999999997,0.162,38.0,0.7538,0.038,0.0128,0.0853,0.0066,0.36,0.91,0.902,0.841,117.0,0.049,3.1,9.0,686.0,0.1007,785244.0,45.6,73775.0,0.3683,0.388,1.0,0.421,0.397,0.303,4.845767366658993e-06,0.066,0.6672408842951478
WV,0.20099999999999996,0.209,43.0,0.9308,0.0369,0.002,0.008,0.0002,0.21,0.87,0.866,0.48700000000000004,74.0,0.046,4.7,17.5,332.0,0.1754,310044.0,46.21,46711.0,0.685,0.686,1.0,0.585,0.391,0.438,3.1861225669546084e-05,0.066,0.4760264140109101
WI,0.21799999999999997,0.18,40.0,0.8543,0.0641,0.0089,0.0279,0.0004,0.3,0.92,0.927,0.7020000000000001,108.0,0.039,3.2,11.4,664.0,0.1092,639160.0,44.0,61747.0,0.4722,0.488,1.0,0.453,0.297,0.31,1.2056813353315813e-05,0.058,0.6494401378122309
WY,0.23099999999999996,0.17800000000000002,38.0,0.9144,0.0096,0.0244,0.0086,0.001,0.27,0.93,0.911,0.648,6.0,0.045,2.6,17.5,101.0,0.1071,62257.0,43.0,64049.0,0.674,0.699,0.0,0.662,0.307,0.307,0.00011196370164438047,0.123,0.3712316968130922
