State code,Condition,Competition,Incentive,Start Date,Prize date/End date,Min doses,Incentive t0,State wide
KY,18+,No,Coupon for a free Cash Ball 225 ticket at Kroger or Walmart location,10/05/2021,While supplies last,1,04/06/2021,Selected sites
KY,18+,Lottery,3 x $1 million prizes,04/06/2021,25/08/2021,1,04/06/2021,Yes
KY,12-17,Lottery,15 x full scholarships to any Kentucky institution,04/06/2021,25/08/2021,1,04/06/2021,Yes
KY,12+,Lottery,"30x travel gifts (golf, stays, ...)",12/08/2021,07/10/2021,1,04/06/2021,Yes
LA,12+,No,Free drinks at partner bars and restaurants,03/06/2021,31/07/2021,1,03/06/2021,Yes
LA,12+,No,Free access to State parks and historic sites,03/06/2021,31/07/2021,1,03/06/2021,Yes
LA,12-17,Lottery,"4x $100,000 scholarships",17/06/2021,31/07/2021,1,03/06/2021,Yes
LA,18+,Lottery,"4x $100,000 prizes and 6x $1 million grand prizes",17/06/2021,31/07/2021,1,03/06/2021,Yes
LA,12+,No,$100,01/08/2021,31/12/2021,1,03/06/2021,Yes
MA,12-17,Lottery,"5x $300,000 scholarships",15/06/2021,19/08/2021,2,15/06/2021,Yes
MA,18+,Lottery,5x $1 million,15/06/2021,19/08/2021,2,15/06/2021,Yes
ME,18+,No,Fishing license or hunting license or Maine Wildlife Park pass or Maine State Park day pass or $20 L.L.Bean gift card or Sea Dogs Admission ticket or Oxford Plains Speedway pass,11/05/2021,31/05/2021,1,11/05/2021,Yes
MD,12-17,Automatic lottery,"$50,000 in-state public college scholarship",07/07/2021,05/08/2021,1,20/05/2021,Yes
MD,18+,Automatic lottery,$2 million,20/05/2021,04/07/2021,1,20/05/2021,Yes
MI,12-17,Lottery,"9 x $55,000 scholarships",01/07/2021,10/07/2021,1,01/07/2021,Yes
MI,18+,Lottery,"$1 million, $2 million, 30 x $50k, $5 million grand prize",01/07/2021,23/08/2021,1,01/07/2021,Yes
MN,16+,No,"9 different options: state park passes, fishing licenses, and tickets to fairs and amusement parks, $25 Visa card.",28/05/2021,30/06/2021,1,28/05/2021,Yes
MN,21+,No,Free or discounted drink at participating establishements,28/05/2021,30/06/2021,1,28/05/2021,Yes
MN,12+,No,$100 Visa gift card,30/07/2021,15/08/2021,1,28/05/2021,Yes
MN,12-17,No,$200 Visa gift card,18/10/2021,30/11/2021,2,28/05/2021,Yes
MN,12-17,Lottery,"5x $100,000 scholarships",18/10/2021,30/11/2021,2,28/05/2021,Yes
MN,5-11,No,$200 Visa gift card,01/01/2022,28/02/2022,2,28/05/2021,Yes
MN,5-11,Lottery,"4x $100,000 scholarships",01/03/2022,11/04/2022,2,28/05/2021,Yes
MO,12-17,Lottery,"$10,000 for education (900 winners children+adults)",21/07/2021,08/10/2021,1,21/07/2021,Yes
MO,18+,Lottery,"$10,000 (900 winners children+adults)",21/07/2021,08/10/2021,1,21/07/2021,Yes
NC,18+,Automatic lottery,4x $1 million drawings,10/06/2021,04/08/2021,1,10/06/2021,Yes
NC,12-17,Automatic lottery,"4x $125,000 for college fees",10/06/2021,04/08/2021,1,10/06/2021,Yes
NJ,21+,No,Free beer,03/05/2021,31/05/2021,1,03/05/2021,Yes
NJ,12+,No,Free access to State parks,19/05/2021,04/07/2021,1,03/05/2021,Yes
NJ,21+,No,Free glass wine voucher,19/05/2021,31/05/2021,1,03/05/2021,Yes
NJ,18+,No,Free dinner with Governor and wife,27/05/2021,31/05/2021,1,03/05/2021,Yes
NM,18+,Lottery,"$10 million total prize money, grand prize of $5 million",01/06/2021,10/08/2021,1,01/06/2021,Yes
NM,18+,Lottery,"18 in-state “staycation” travel packages ($600-$1,100 value), including four nights of accommodations and gift cards to local businesses and experiences; Fishing and hunting licenses; Annual day-use passes for New Mexico State Parks; Day-use passes for New Mexico state museums and cultural sites; New Mexico Lottery ""prize wheels"" in vaccination sites",07/06/2021,10/08/2021,1,01/06/2021,Selected sites
NM,12+,No,$100,14/06/2021,17/06/2021,2 or 1 J&J,01/06/2021,Yes
NM,12+,No,$100,02/08/2021,31/08/2021,2 or 1 J&J,01/06/2021,Yes
NV,12-17,Automatic lottery,529 tuition savings plans,17/06/2021,26/08/2021,1,17/06/2021,Yes
NV,12-17,Automatic lottery,Nevada fishing license and Nevada state parks annual entrance,17/06/2021,26/08/2021,1,17/06/2021,Yes
NV,18+,Automatic lottery,"$1,000-$250,000 cash prizes and a $1 million grand prize",17/06/2021,26/08/2021,1,17/06/2021,Yes
NY,18+,Lottery,NYS Lottery scratch-off tickets (max prize $5 million),24/05/2021,28/05/2021,1,24/05/2021,Selected sites 
NY,12+,No,Two-day pass State parks,24/05/2021,31/05/2021,1 J&J,24/05/2021,Yes
NY,12-17,Lottery,50 x 4-year full ride scholarships to any New York State public college or university,26/05/2021,28/06/2021,1,24/05/2021,Yes
NY,5-11,Automatic lottery,50 x 4-year full ride scholarships to any New York State public college or university,09/11/2021,19/12/2021,1,24/05/2021,Yes
OH,18+,Automatic lottery,Up to $1 million,12/05/2021,22/06/2021,1,12/05/2021,Yes
OH,12-17,Automatic lottery,Full four-year scholarship to any of Ohio’s state colleges and universities,12/05/2021,22/06/2021,1,12/05/2021,Yes
OH,12-25,Lottery,"100x $10,000 and 5x $100,000 scholarships to an Ohio college or university",01/10/2021,04/12/2021,1,12/05/2021,Yes
OH,18+/Ohio Medicaid/MyCare member,No,$100,26/07/2021,30/06/2022,1,12/05/2021,Yes
OH,12-17/Ohio Medicaid/MyCare member,No,$100,23/08/2021,30/06/2022,1,12/05/2021,Yes
OH,5-11/Ohio Medicaid/MyCare member,No,$100,26/01/2022,30/06/2022,1,12/05/2022,Yes
OR,18+,Automatic lottery,"$1 million, 36 x $10,000 prizes",21/05/2021,28/06/2021,1,21/05/2021,Yes
OR,12-17,Automatic lottery,"5 x $100,000 Oregon College Savings Plan scholarships",21/05/2021,28/06/2021,1,21/05/2021,Yes
WA,12-17,Automatic lottery,30 one-year college tuition,02/06/2021,30/06/2021,1,02/06/2021,Yes
WA,18+,Automatic lottery,"Lottery cash drawings, with prizes totaling $2 million; Sports tickets and gear; Gift cards; Airline tickets; Game systems and smart speakers",02/06/2021,30/06/2021,1,02/06/2021,Yes
WV,16-35,No,$100 savings bond or $100 gift card,26/04/2021,20/06/2021,2,26/04/2021,Yes
WV,12+,Lottery,"""Do it for Babydog"": $1 million, Full four-year scholarships to any West Virginia institution for kids ages 12 to 25-years-old; (2) Brand-new, custom-outfitted trucks; (25) Weekend getaways” to West Virginia State Parks; (5) Lifetime hunting and fishing licenses; (5) Custom hunting rifles; (5) Custom hunting shotguns",20/06/2021,06/08/2021,1,26/04/2021,Yes
WV,12+,Lottery,"Full four-year scholarships to any West Virginia institution for kids ages 12 to 25-years-oldFull four-year scholarships to any West Virginia institution for kids ages 12 to 25-years-old; Luxury High-End Sports Car; Custom Fishing or Pontoon Boat; $150,000 towards the Wedding of your Dreams; Free Gas for 10 years; WVU Football or Basketball Season Ticket Package for two; Marshall Football or Basketball Season; Ticket Package for two; 2021-2022 Season Passes for two to a Ski Resort in West Virginia; Premium ATV or Side by Side; Top of the Line Zero Turn Lawn Mower",20/08/2021,03/10/2021,1,26/04/2021,Yes
WV,5-18,Lottery,"100 Prizes of a $10,000 Educational Savings Fund; 400 Lifetime Hunting and Fishing Licenses; 1 Grand Prize Educational Savings Fund for a student; 1 Grand Prize check and party for a school",08/11/2021,13/12/2021,1,26/04/2021,Yes
