cnty_fips	display_name	Value	theme_range
15007	"""Kauai, (HI)"""	70.6	18.7 - 88.8 (593)
15009	"""Maui, (HI)"""	136.4	112.6 - 139.6 (592)
41003	"""Benton, (OR)"""	90.6	88.9 - 112.5 (594)
41005	"""Clackamas, (OR)"""	105.7	88.9 - 112.5 (594)
41007	"""Clatsop, (OR)"""	105.8	88.9 - 112.5 (594)
41009	"""Columbia, (OR)"""	111.5	88.9 - 112.5 (594)
41011	"""Coos, (OR)"""	123.7	112.6 - 139.6 (592)
41013	"""Crook, (OR)"""	80.7	18.7 - 88.8 (593)
41015	"""Curry, (OR)"""	108.8	88.9 - 112.5 (594)
41017	"""Deschutes, (OR)"""	98	88.9 - 112.5 (594)
41019	"""Douglas, (OR)"""	172.1	139.7 - 177.1 (590)
41021	"""Gilliam, (OR)"""	-1	
41027	"""Hood River, (OR)"""	94.4	88.9 - 112.5 (594)
41029	"""Jackson, (OR)"""	104.3	88.9 - 112.5 (594)
41031	"""Jefferson, (OR)"""	128.9	112.6 - 139.6 (592)
41033	"""Josephine, (OR)"""	143.7	139.7 - 177.1 (590)
41035	"""Klamath, (OR)"""	164.3	139.7 - 177.1 (590)
41037	"""Lake, (OR)"""	144.9	139.7 - 177.1 (590)
41039	"""Lane, (OR)"""	156	139.7 - 177.1 (590)
41041	"""Lincoln, (OR)"""	103	88.9 - 112.5 (594)
41043	"""Linn, (OR)"""	159	139.7 - 177.1 (590)
41047	"""Marion, (OR)"""	117.8	112.6 - 139.6 (592)
41051	"""Multnomah, (OR)"""	109.1	88.9 - 112.5 (594)
41053	"""Polk, (OR)"""	101.9	88.9 - 112.5 (594)
41055	"""Sherman, (OR)"""	-1	
41057	"""Tillamook, (OR)"""	128.1	112.6 - 139.6 (592)
41065	"""Wasco, (OR)"""	156.7	139.7 - 177.1 (590)
41067	"""Washington, (OR)"""	93.4	88.9 - 112.5 (594)
41069	"""Wheeler, (OR)"""	-1	
41071	"""Yamhill, (OR)"""	136.1	112.6 - 139.6 (592)
53007	"""Chelan, (WA)"""	78.7	18.7 - 88.8 (593)
53009	"""Clallam, (WA)"""	92.9	88.9 - 112.5 (594)
53011	"""Clark, (WA)"""	145.4	139.7 - 177.1 (590)
53015	"""Cowlitz, (WA)"""	182.8	177.2 - 592.1 (592)
53027	"""Grays Harbor, (WA)"""	114.2	112.6 - 139.6 (592)
53029	"""Island, (WA)"""	114.5	112.6 - 139.6 (592)
53031	"""Jefferson, (WA)"""	81.9	18.7 - 88.8 (593)
53033	"""King, (WA)"""	96	88.9 - 112.5 (594)
53035	"""Kitsap, (WA)"""	99.2	88.9 - 112.5 (594)
53037	"""Kittitas, (WA)"""	83.7	18.7 - 88.8 (593)
53039	"""Klickitat, (WA)"""	68.4	18.7 - 88.8 (593)
53041	"""Lewis, (WA)"""	144.1	139.7 - 177.1 (590)
53045	"""Mason, (WA)"""	123.1	112.6 - 139.6 (592)
53047	"""Okanogan, (WA)"""	95.1	88.9 - 112.5 (594)
53049	"""Pacific, (WA)"""	135.3	112.6 - 139.6 (592)
53053	"""Pierce, (WA)"""	136.6	112.6 - 139.6 (592)
53055	"""San Juan, (WA)"""	46.9	18.7 - 88.8 (593)
53057	"""Skagit, (WA)"""	99.2	88.9 - 112.5 (594)
53059	"""Skamania, (WA)"""	76.9	18.7 - 88.8 (593)
53061	"""Snohomish, (WA)"""	105.8	88.9 - 112.5 (594)
53067	"""Thurston, (WA)"""	111.2	88.9 - 112.5 (594)
53069	"""Wahkiakum, (WA)"""	76.1	18.7 - 88.8 (593)
53073	"""Whatcom, (WA)"""	124.9	112.6 - 139.6 (592)
53077	"""Yakima, (WA)"""	113.9	112.6 - 139.6 (592)
4001	"""Apache, (AZ)"""	136	112.6 - 139.6 (592)
4003	"""Cochise, (AZ)"""	96.1	88.9 - 112.5 (594)
4005	"""Coconino, (AZ)"""	111.1	88.9 - 112.5 (594)
4007	"""Gila, (AZ)"""	157.2	139.7 - 177.1 (590)
4009	"""Graham, (AZ)"""	126.4	112.6 - 139.6 (592)
4011	"""Greenlee, (AZ)"""	100.9	88.9 - 112.5 (594)
4012	"""La Paz, (AZ)"""	186.1	177.2 - 592.1 (592)
4013	"""Maricopa, (AZ)"""	126.6	112.6 - 139.6 (592)
4015	"""Mohave, (AZ)"""	114.7	112.6 - 139.6 (592)
4017	"""Navajo, (AZ)"""	122.8	112.6 - 139.6 (592)
4019	"""Pima, (AZ)"""	103.6	88.9 - 112.5 (594)
4021	"""Pinal, (AZ)"""	100.1	88.9 - 112.5 (594)
4023	"""Santa Cruz, (AZ)"""	71.2	18.7 - 88.8 (593)
4025	"""Yavapai, (AZ)"""	135.2	112.6 - 139.6 (592)
4027	"""Yuma, (AZ)"""	134	112.6 - 139.6 (592)
6003	"""Alpine, (CA)"""	-1	
6019	"""Fresno, (CA)"""	150.5	139.7 - 177.1 (590)
6025	"""Imperial, (CA)"""	142.9	139.7 - 177.1 (590)
6027	"""Inyo, (CA)"""	99.4	88.9 - 112.5 (594)
6029	"""Kern, (CA)"""	180.8	177.2 - 592.1 (592)
6037	"""Los Angeles, (CA)"""	118.9	112.6 - 139.6 (592)
6039	"""Madera, (CA)"""	183	177.2 - 592.1 (592)
6051	"""Mono, (CA)"""	49.8	18.7 - 88.8 (593)
6059	"""Orange, (CA)"""	88	18.7 - 88.8 (593)
6065	"""Riverside, (CA)"""	149.6	139.7 - 177.1 (590)
6071	"""San Bernardino, (CA)"""	186.9	177.2 - 592.1 (592)
6073	"""San Diego, (CA)"""	135.3	112.6 - 139.6 (592)
6107	"""Tulare, (CA)"""	162.9	139.7 - 177.1 (590)
6111	"""Ventura, (CA)"""	154.4	139.7 - 177.1 (590)
8007	"""Archuleta, (CO)"""	-1	
8029	"""Delta, (CO)"""	113.2	112.6 - 139.6 (592)
8033	"""Dolores, (CO)"""	-1	
8045	"""Garfield, (CO)"""	77.9	18.7 - 88.8 (593)
8051	"""Gunnison, (CO)"""	-1	
8053	"""Hinsdale, (CO)"""	-1	
8067	"""La Plata, (CO)"""	44.7	18.7 - 88.8 (593)
8077	"""Mesa, (CO)"""	110.8	88.9 - 112.5 (594)
8079	"""Mineral, (CO)"""	-1	
8081	"""Moffat, (CO)"""	80.8	18.7 - 88.8 (593)
8083	"""Montezuma, (CO)"""	166.7	139.7 - 177.1 (590)
8085	"""Montrose, (CO)"""	131.4	112.6 - 139.6 (592)
8091	"""Ouray, (CO)"""	-1	
8097	"""Pitkin, (CO)"""	-1	
8103	"""Rio Blanco, (CO)"""	102.6	88.9 - 112.5 (594)
8107	"""Routt, (CO)"""	64.3	18.7 - 88.8 (593)
8111	"""San Juan, (CO)"""	-1	
8113	"""San Miguel, (CO)"""	-1	
16001	"""Ada, (ID)"""	87.2	18.7 - 88.8 (593)
16005	"""Bannock, (ID)"""	129.6	112.6 - 139.6 (592)
16007	"""Bear Lake, (ID)"""	127.3	112.6 - 139.6 (592)
16011	"""Bingham, (ID)"""	110.9	88.9 - 112.5 (594)
16013	"""Blaine, (ID)"""	50.1	18.7 - 88.8 (593)
16015	"""Boise, (ID)"""	67.4	18.7 - 88.8 (593)
16019	"""Bonneville, (ID)"""	89.9	88.9 - 112.5 (594)
16023	"""Butte, (ID)"""	-1	
16025	"""Camas, (ID)"""	-1	
16027	"""Canyon, (ID)"""	128	112.6 - 139.6 (592)
16029	"""Caribou, (ID)"""	204	177.2 - 592.1 (592)
16031	"""Cassia, (ID)"""	79	18.7 - 88.8 (593)
16033	"""Clark, (ID)"""	-1	
16037	"""Custer, (ID)"""	-1	
16039	"""Elmore, (ID)"""	136.1	112.6 - 139.6 (592)
16041	"""Franklin, (ID)"""	-1	
16043	"""Fremont, (ID)"""	66.7	18.7 - 88.8 (593)
16045	"""Gem, (ID)"""	100.5	88.9 - 112.5 (594)
16047	"""Gooding, (ID)"""	73.7	18.7 - 88.8 (593)
16051	"""Jefferson, (ID)"""	64	18.7 - 88.8 (593)
16053	"""Jerome, (ID)"""	81.8	18.7 - 88.8 (593)
16063	"""Lincoln, (ID)"""	-1	
16065	"""Madison, (ID)"""	62	18.7 - 88.8 (593)
16067	"""Minidoka, (ID)"""	112.6	112.6 - 139.6 (592)
16071	"""Oneida, (ID)"""	123.4	112.6 - 139.6 (592)
16073	"""Owyhee, (ID)"""	138.6	112.6 - 139.6 (592)
16075	"""Payette, (ID)"""	101.3	88.9 - 112.5 (594)
16077	"""Power, (ID)"""	105.1	88.9 - 112.5 (594)
16081	"""Teton, (ID)"""	-1	
16083	"""Twin Falls, (ID)"""	110.5	88.9 - 112.5 (594)
16087	"""Washington, (ID)"""	107.9	88.9 - 112.5 (594)
32001	"""Churchill, (NV)"""	172.7	139.7 - 177.1 (590)
32003	"""Clark, (NV)"""	125.6	112.6 - 139.6 (592)
32005	"""Douglas, (NV)"""	103.4	88.9 - 112.5 (594)
32007	"""Elko, (NV)"""	71.6	18.7 - 88.8 (593)
32009	"""Esmeralda, (NV)"""	-1	
32011	"""Eureka, (NV)"""	-1	
32013	"""Humboldt, (NV)"""	174.6	139.7 - 177.1 (590)
32015	"""Lander, (NV)"""	131.7	112.6 - 139.6 (592)
32017	"""Lincoln, (NV)"""	145.8	139.7 - 177.1 (590)
32019	"""Lyon, (NV)"""	163	139.7 - 177.1 (590)
32021	"""Mineral, (NV)"""	258.5	177.2 - 592.1 (592)
32023	"""Nye, (NV)"""	150	139.7 - 177.1 (590)
32027	"""Pershing, (NV)"""	222.4	177.2 - 592.1 (592)
32029	"""Storey, (NV)"""	121.8	112.6 - 139.6 (592)
32031	"""Washoe, (NV)"""	160.2	139.7 - 177.1 (590)
32033	"""White Pine, (NV)"""	83.7	18.7 - 88.8 (593)
32510	"""Carson City, (NV)"""	196.9	177.2 - 592.1 (592)
35003	"""Catron, (NM)"""	96.7	88.9 - 112.5 (594)
35006	"""Cibola, (NM)"""	138.1	112.6 - 139.6 (592)
35013	"""Do̱a Ana, (NM)"""	88.4	18.7 - 88.8 (593)
35017	"""Grant, (NM)"""	94	88.9 - 112.5 (594)
35023	"""Hidalgo, (NM)"""	111.9	88.9 - 112.5 (594)
35029	"""Luna, (NM)"""	83.2	18.7 - 88.8 (593)
35031	"""McKinley, (NM)"""	154.3	139.7 - 177.1 (590)
35043	"""Sandoval, (NM)"""	111.5	88.9 - 112.5 (594)
35045	"""San Juan, (NM)"""	93.6	88.9 - 112.5 (594)
35051	"""Sierra, (NM)"""	137.3	112.6 - 139.6 (592)
35053	"""Socorro, (NM)"""	156.6	139.7 - 177.1 (590)
35061	"""Valencia, (NM)"""	112.8	112.6 - 139.6 (592)
41023	"""Grant, (OR)"""	194	177.2 - 592.1 (592)
41025	"""Harney, (OR)"""	113.1	112.6 - 139.6 (592)
41045	"""Malheur, (OR)"""	74.3	18.7 - 88.8 (593)
49001	"""Beaver, (UT)"""	-1	
49003	"""Box Elder, (UT)"""	72.9	18.7 - 88.8 (593)
49005	"""Cache, (UT)"""	97.5	88.9 - 112.5 (594)
49007	"""Carbon, (UT)"""	58.1	18.7 - 88.8 (593)
49009	"""Daggett, (UT)"""	-1	
49011	"""Davis, (UT)"""	71.3	18.7 - 88.8 (593)
49013	"""Duchesne, (UT)"""	82.1	18.7 - 88.8 (593)
49015	"""Emery, (UT)"""	-1	
49017	"""Garfield, (UT)"""	117	112.6 - 139.6 (592)
49019	"""Grand, (UT)"""	56	18.7 - 88.8 (593)
49021	"""Iron, (UT)"""	38.4	18.7 - 88.8 (593)
49023	"""Juab, (UT)"""	-1	
49025	"""Kane, (UT)"""	64.3	18.7 - 88.8 (593)
49027	"""Millard, (UT)"""	118.6	112.6 - 139.6 (592)
49029	"""Morgan, (UT)"""	-1	
49031	"""Piute, (UT)"""	-1	
49033	"""Rich, (UT)"""	-1	
49035	"""Salt Lake, (UT)"""	80.4	18.7 - 88.8 (593)
49037	"""San Juan, (UT)"""	101.9	88.9 - 112.5 (594)
49039	"""Sanpete, (UT)"""	59.2	18.7 - 88.8 (593)
49041	"""Sevier, (UT)"""	123.6	112.6 - 139.6 (592)
49043	"""Summit, (UT)"""	52.8	18.7 - 88.8 (593)
49045	"""Tooele, (UT)"""	65.5	18.7 - 88.8 (593)
49047	"""Uintah, (UT)"""	74.2	18.7 - 88.8 (593)
49049	"""Utah, (UT)"""	57.8	18.7 - 88.8 (593)
49051	"""Wasatch, (UT)"""	69.8	18.7 - 88.8 (593)
49053	"""Washington, (UT)"""	58.5	18.7 - 88.8 (593)
49055	"""Wayne, (UT)"""	-1	
49057	"""Weber, (UT)"""	83.8	18.7 - 88.8 (593)
56003	"""Big Horn, (WY)"""	118.8	112.6 - 139.6 (592)
56007	"""Carbon, (WY)"""	51.5	18.7 - 88.8 (593)
56013	"""Fremont, (WY)"""	121.9	112.6 - 139.6 (592)
56017	"""Hot Springs, (WY)"""	234.1	177.2 - 592.1 (592)
56023	"""Lincoln, (WY)"""	72.8	18.7 - 88.8 (593)
56025	"""Natrona, (WY)"""	141	139.7 - 177.1 (590)
56029	"""Park, (WY)"""	95.9	88.9 - 112.5 (594)
56035	"""Sublette, (WY)"""	64.2	18.7 - 88.8 (593)
56037	"""Sweetwater, (WY)"""	129	112.6 - 139.6 (592)
56039	"""Teton, (WY)"""	-1	
56041	"""Uinta, (WY)"""	98.7	88.9 - 112.5 (594)
56043	"""Washakie, (WY)"""	128.9	112.6 - 139.6 (592)
22031	"""De Soto, (LA)"""	229.5	177.2 - 592.1 (592)
48001	"""Anderson, (TX)"""	144.6	139.7 - 177.1 (590)
48005	"""Angelina, (TX)"""	205.8	177.2 - 592.1 (592)
48007	"""Aransas, (TX)"""	168.1	139.7 - 177.1 (590)
48013	"""Atascosa, (TX)"""	143.5	139.7 - 177.1 (590)
48015	"""Austin, (TX)"""	183.2	177.2 - 592.1 (592)
48019	"""Bandera, (TX)"""	89.2	88.9 - 112.5 (594)
48021	"""Bastrop, (TX)"""	155.8	139.7 - 177.1 (590)
48025	"""Bee, (TX)"""	120.9	112.6 - 139.6 (592)
48027	"""Bell, (TX)"""	186.4	177.2 - 592.1 (592)
48029	"""Bexar, (TX)"""	194	177.2 - 592.1 (592)
48031	"""Blanco, (TX)"""	155.5	139.7 - 177.1 (590)
48035	"""Bosque, (TX)"""	162.4	139.7 - 177.1 (590)
48039	"""Brazoria, (TX)"""	119.8	112.6 - 139.6 (592)
48041	"""Brazos, (TX)"""	131.9	112.6 - 139.6 (592)
48043	"""Brewster, (TX)"""	99.9	88.9 - 112.5 (594)
48047	"""Brooks, (TX)"""	181.6	177.2 - 592.1 (592)
48049	"""Brown, (TX)"""	125.3	112.6 - 139.6 (592)
48051	"""Burleson, (TX)"""	148.6	139.7 - 177.1 (590)
48053	"""Burnet, (TX)"""	133.2	112.6 - 139.6 (592)
48055	"""Caldwell, (TX)"""	133.7	112.6 - 139.6 (592)
48057	"""Calhoun, (TX)"""	120	112.6 - 139.6 (592)
48061	"""Cameron, (TX)"""	115.6	112.6 - 139.6 (592)
48071	"""Chambers, (TX)"""	147.1	139.7 - 177.1 (590)
48073	"""Cherokee, (TX)"""	146.6	139.7 - 177.1 (590)
48081	"""Coke, (TX)"""	136.6	112.6 - 139.6 (592)
48083	"""Coleman, (TX)"""	125.4	112.6 - 139.6 (592)
48089	"""Colorado, (TX)"""	177.8	177.2 - 592.1 (592)
48091	"""Comal, (TX)"""	122.4	112.6 - 139.6 (592)
48093	"""Comanche, (TX)"""	45.5	18.7 - 88.8 (593)
48095	"""Concho, (TX)"""	-1	
48099	"""Coryell, (TX)"""	252.7	177.2 - 592.1 (592)
48103	"""Crane, (TX)"""	265	177.2 - 592.1 (592)
48105	"""Crockett, (TX)"""	348.2	177.2 - 592.1 (592)
48109	"""Culberson, (TX)"""	-1	
48123	"""DeWitt, (TX)"""	188.3	177.2 - 592.1 (592)
48127	"""Dimmit, (TX)"""	108.5	88.9 - 112.5 (594)
48131	"""Duval, (TX)"""	159.4	139.7 - 177.1 (590)
48135	"""Ector, (TX)"""	244	177.2 - 592.1 (592)
48137	"""Edwards, (TX)"""	-1	
48141	"""El Paso, (TX)"""	187.6	177.2 - 592.1 (592)
48145	"""Falls, (TX)"""	278	177.2 - 592.1 (592)
48149	"""Fayette, (TX)"""	176.9	139.7 - 177.1 (590)
48157	"""Fort Bend, (TX)"""	99	88.9 - 112.5 (594)
48161	"""Freestone, (TX)"""	191.5	177.2 - 592.1 (592)
48163	"""Frio, (TX)"""	228.5	177.2 - 592.1 (592)
48167	"""Galveston, (TX)"""	123.6	112.6 - 139.6 (592)
48171	"""Gillespie, (TX)"""	179	177.2 - 592.1 (592)
48173	"""Glasscock, (TX)"""	-1	
48175	"""Goliad, (TX)"""	133	112.6 - 139.6 (592)
48177	"""Gonzales, (TX)"""	209.1	177.2 - 592.1 (592)
48185	"""Grimes, (TX)"""	168.2	139.7 - 177.1 (590)
48187	"""Guadalupe, (TX)"""	133.2	112.6 - 139.6 (592)
48193	"""Hamilton, (TX)"""	94.4	88.9 - 112.5 (594)
48199	"""Hardin, (TX)"""	188.9	177.2 - 592.1 (592)
48201	"""Harris, (TX)"""	142.1	139.7 - 177.1 (590)
48209	"""Hays, (TX)"""	128.5	112.6 - 139.6 (592)
48215	"""Hidalgo, (TX)"""	86.8	18.7 - 88.8 (593)
48217	"""Hill, (TX)"""	162.8	139.7 - 177.1 (590)
48225	"""Houston, (TX)"""	152.9	139.7 - 177.1 (590)
48229	"""Hudspeth, (TX)"""	-1	
48235	"""Irion, (TX)"""	-1	
48239	"""Jackson, (TX)"""	142.1	139.7 - 177.1 (590)
48241	"""Jasper, (TX)"""	166.7	139.7 - 177.1 (590)
48243	"""Jeff Davis, (TX)"""	-1	
48245	"""Jefferson, (TX)"""	207.5	177.2 - 592.1 (592)
48247	"""Jim Hogg, (TX)"""	169.1	139.7 - 177.1 (590)
48249	"""Jim Wells, (TX)"""	135.2	112.6 - 139.6 (592)
48255	"""Karnes, (TX)"""	168.9	139.7 - 177.1 (590)
48259	"""Kendall, (TX)"""	179.2	177.2 - 592.1 (592)
48261	"""Kenedy, (TX)"""	-1	
48265	"""Kerr, (TX)"""	133.2	112.6 - 139.6 (592)
48267	"""Kimble, (TX)"""	147	139.7 - 177.1 (590)
48271	"""Kinney, (TX)"""	-1	
48273	"""Kleberg, (TX)"""	219.8	177.2 - 592.1 (592)
48281	"""Lampasas, (TX)"""	213	177.2 - 592.1 (592)
48283	"""La Salle, (TX)"""	189.4	177.2 - 592.1 (592)
48285	"""Lavaca, (TX)"""	143.7	139.7 - 177.1 (590)
48287	"""Lee, (TX)"""	165.6	139.7 - 177.1 (590)
48289	"""Leon, (TX)"""	155.3	139.7 - 177.1 (590)
48291	"""Liberty, (TX)"""	188.4	177.2 - 592.1 (592)
48293	"""Limestone, (TX)"""	195.7	177.2 - 592.1 (592)
48297	"""Live Oak, (TX)"""	84.8	18.7 - 88.8 (593)
48299	"""Llano, (TX)"""	100.5	88.9 - 112.5 (594)
48301	"""Loving, (TX)"""	-1	
48307	"""McCulloch, (TX)"""	112.1	88.9 - 112.5 (594)
48309	"""McLennan, (TX)"""	250.3	177.2 - 592.1 (592)
48311	"""McMullen, (TX)"""	-1	
48313	"""Madison, (TX)"""	197.9	177.2 - 592.1 (592)
48319	"""Mason, (TX)"""	164.4	139.7 - 177.1 (590)
48321	"""Matagorda, (TX)"""	124.7	112.6 - 139.6 (592)
48323	"""Maverick, (TX)"""	97.9	88.9 - 112.5 (594)
48325	"""Medina, (TX)"""	115.8	112.6 - 139.6 (592)
48327	"""Menard, (TX)"""	-1	
48329	"""Midland, (TX)"""	102.3	88.9 - 112.5 (594)
48331	"""Milam, (TX)"""	186.4	177.2 - 592.1 (592)
48333	"""Mills, (TX)"""	99.1	88.9 - 112.5 (594)
48339	"""Montgomery, (TX)"""	117.7	112.6 - 139.6 (592)
48347	"""Nacogdoches, (TX)"""	189.9	177.2 - 592.1 (592)
48349	"""Navarro, (TX)"""	158.5	139.7 - 177.1 (590)
48351	"""Newton, (TX)"""	151.3	139.7 - 177.1 (590)
48355	"""Nueces, (TX)"""	191.1	177.2 - 592.1 (592)
48361	"""Orange, (TX)"""	236.5	177.2 - 592.1 (592)
48371	"""Pecos, (TX)"""	227.4	177.2 - 592.1 (592)
48373	"""Polk, (TX)"""	209.7	177.2 - 592.1 (592)
48377	"""Presidio, (TX)"""	96.8	88.9 - 112.5 (594)
48383	"""Reagan, (TX)"""	343.2	177.2 - 592.1 (592)
48385	"""Real, (TX)"""	177.3	177.2 - 592.1 (592)
48389	"""Reeves, (TX)"""	114.4	112.6 - 139.6 (592)
48391	"""Refugio, (TX)"""	147.7	139.7 - 177.1 (590)
48395	"""Robertson, (TX)"""	235.7	177.2 - 592.1 (592)
48399	"""Runnels, (TX)"""	107.8	88.9 - 112.5 (594)
48403	"""Sabine, (TX)"""	134.7	112.6 - 139.6 (592)
48405	"""San Augustine, (TX)"""	247.5	177.2 - 592.1 (592)
48407	"""San Jacinto, (TX)"""	130.5	112.6 - 139.6 (592)
48409	"""San Patricio, (TX)"""	206.7	177.2 - 592.1 (592)
48411	"""San Saba, (TX)"""	244.9	177.2 - 592.1 (592)
48413	"""Schleicher, (TX)"""	246.5	177.2 - 592.1 (592)
48419	"""Shelby, (TX)"""	154.4	139.7 - 177.1 (590)
48427	"""Starr, (TX)"""	73.2	18.7 - 88.8 (593)
48431	"""Sterling, (TX)"""	-1	
48435	"""Sutton, (TX)"""	165.3	139.7 - 177.1 (590)
48443	"""Terrell, (TX)"""	-1	
48451	"""Tom Green, (TX)"""	139.9	139.7 - 177.1 (590)
48453	"""Travis, (TX)"""	117	112.6 - 139.6 (592)
48455	"""Trinity, (TX)"""	129.8	112.6 - 139.6 (592)
48457	"""Tyler, (TX)"""	148.8	139.7 - 177.1 (590)
48461	"""Upton, (TX)"""	229.1	177.2 - 592.1 (592)
48463	"""Uvalde, (TX)"""	109.4	88.9 - 112.5 (594)
48465	"""Val Verde, (TX)"""	206.1	177.2 - 592.1 (592)
48469	"""Victoria, (TX)"""	124.1	112.6 - 139.6 (592)
48471	"""Walker, (TX)"""	131.7	112.6 - 139.6 (592)
48473	"""Waller, (TX)"""	150.2	139.7 - 177.1 (590)
48475	"""Ward, (TX)"""	244.4	177.2 - 592.1 (592)
48477	"""Washington, (TX)"""	88.3	18.7 - 88.8 (593)
48479	"""Webb, (TX)"""	159.7	139.7 - 177.1 (590)
48481	"""Wharton, (TX)"""	153.8	139.7 - 177.1 (590)
48489	"""Willacy, (TX)"""	144.2	139.7 - 177.1 (590)
48491	"""Williamson, (TX)"""	93.1	88.9 - 112.5 (594)
48493	"""Wilson, (TX)"""	125.9	112.6 - 139.6 (592)
48495	"""Winkler, (TX)"""	283.6	177.2 - 592.1 (592)
